time=2025-10-30T12:18:08.051Z level=INFO msg="Monaco version 2.26.1"
time=2025-10-30T12:18:08.051Z level=INFO msg="Loading manifest \"/home/terraform17/monaco-project/projects/manifest.yaml\". Restrictions: groups=[], environments=[]" manifestPath=/home/terraform17/monaco-project/projects/manifest.yaml
time=2025-10-30T12:18:08.055Z level=INFO msg="Projects to be deployed (1):"
time=2025-10-30T12:18:08.055Z level=INFO msg="  - project_my-dt-env"
time=2025-10-30T12:18:08.055Z level=INFO msg="Environments to deploy to (1):"
time=2025-10-30T12:18:08.055Z level=INFO msg="  - project_my-dt-env"
time=2025-10-30T12:18:08.055Z level=WARN msg="API 'anomaly-detection-metrics' is deprecated. Please migrate to 'builtin:anomaly-detection.metric-events'."
time=2025-10-30T12:18:08.055Z level=WARN msg="API 'anomaly-detection-services' is deprecated. Please migrate to 'builtin:anomaly-detection.services'."
time=2025-10-30T12:18:08.055Z level=WARN msg="API 'auto-tag' is deprecated. Please migrate to 'builtin:tags.auto-tagging'."
time=2025-10-30T12:18:08.055Z level=WARN msg="API 'management-zone' is deprecated. Please migrate to 'builtin:management-zones'."
time=2025-10-30T12:18:08.055Z level=WARN msg="API 'notification' is deprecated. Please migrate to 'builtin:problem.notifications'."
time=2025-10-30T12:18:08.055Z level=WARN msg="API 'alerting-profile' is deprecated. Please migrate to 'builtin:alerting.profile'."
time=2025-10-30T12:18:08.056Z level=INFO msg="Deploying configurations to environment \"project_my-dt-env\"..." environment.name=project_my-dt-env environment.group=default
time=2025-10-30T12:18:08.056Z level=INFO msg="Deploying 12 independent configuration sets in parallel..." environment.name=project_my-dt-env environment.group=default
time=2025-10-30T12:18:08.057Z level=INFO msg="Deploying config" deploymentStatus=deploying environment.name=project_my-dt-env environment.group=default coordinate.reference=project_my-dt-env:alerting-profile:alerting-profile-default-active coordinate.project=project_my-dt-env coordinate.type=alerting-profile coordinate.configId=alerting-profile-default-active gid=8
time=2025-10-30T12:18:08.057Z level=INFO msg="Deployment successful" deploymentStatus=deployed environment.name=project_my-dt-env environment.group=default coordinate.reference=project_my-dt-env:alerting-profile:alerting-profile-default-active coordinate.project=project_my-dt-env coordinate.type=alerting-profile coordinate.configId=alerting-profile-default-active gid=8
time=2025-10-30T12:18:08.057Z level=INFO msg="Deploying config" deploymentStatus=deploying environment.name=project_my-dt-env environment.group=default coordinate.reference=project_my-dt-env:alerting-profile:alert_pf_prodops coordinate.project=project_my-dt-env coordinate.type=alerting-profile coordinate.configId=alert_pf_prodops gid=3
time=2025-10-30T12:18:08.057Z level=INFO msg="Deployment successful" deploymentStatus=deployed environment.name=project_my-dt-env environment.group=default coordinate.reference=project_my-dt-env:alerting-profile:alert_pf_prodops coordinate.project=project_my-dt-env coordinate.type=alerting-profile coordinate.configId=alert_pf_prodops gid=3
time=2025-10-30T12:18:08.058Z level=INFO msg="Deploying config" deploymentStatus=deploying environment.name=project_my-dt-env environment.group=default coordinate.reference=project_my-dt-env:alerting-profile:alert_pf_devops coordinate.project=project_my-dt-env coordinate.type=alerting-profile coordinate.configId=alert_pf_devops gid=9
time=2025-10-30T12:18:08.058Z level=INFO msg="Deployment successful" deploymentStatus=deployed environment.name=project_my-dt-env environment.group=default coordinate.reference=project_my-dt-env:alerting-profile:alert_pf_devops coordinate.project=project_my-dt-env coordinate.type=alerting-profile coordinate.configId=alert_pf_devops gid=9
time=2025-10-30T12:18:08.058Z level=INFO msg="Deploying config" deploymentStatus=deploying environment.name=project_my-dt-env environment.group=default coordinate.reference=project_my-dt-env:notification:notification-devops coordinate.project=project_my-dt-env coordinate.type=notification coordinate.configId=notification-devops gid=9
time=2025-10-30T12:18:08.058Z level=INFO msg="Deployment successful" deploymentStatus=deployed environment.name=project_my-dt-env environment.group=default coordinate.reference=project_my-dt-env:notification:notification-devops coordinate.project=project_my-dt-env coordinate.type=notification coordinate.configId=notification-devops gid=9
time=2025-10-30T12:18:08.058Z level=INFO msg="Deploying config" deploymentStatus=deploying environment.name=project_my-dt-env environment.group=default coordinate.reference=project_my-dt-env:auto-tag:auto-tag-environment coordinate.project=project_my-dt-env coordinate.type=auto-tag coordinate.configId=auto-tag-environment gid=10
time=2025-10-30T12:18:08.058Z level=INFO msg="Deployment successful" deploymentStatus=deployed environment.name=project_my-dt-env environment.group=default coordinate.reference=project_my-dt-env:auto-tag:auto-tag-environment coordinate.project=project_my-dt-env coordinate.type=auto-tag coordinate.configId=auto-tag-environment gid=10
time=2025-10-30T12:18:08.058Z level=INFO msg="Deploying config" deploymentStatus=deploying environment.name=project_my-dt-env environment.group=default coordinate.reference=project_my-dt-env:notification:notification-production-support coordinate.project=project_my-dt-env coordinate.type=notification coordinate.configId=notification-production-support gid=3
time=2025-10-30T12:18:08.058Z level=INFO msg="Deployment successful" deploymentStatus=deployed environment.name=project_my-dt-env environment.group=default coordinate.reference=project_my-dt-env:notification:notification-production-support coordinate.project=project_my-dt-env coordinate.type=notification coordinate.configId=notification-production-support gid=3
time=2025-10-30T12:18:08.056Z level=INFO msg="Deployment successful" deploymentStatus=deployed environment.name=project_my-dt-env environment.group=default coordinate.reference=project_my-dt-env:auto-tag:auto-tag-product coordinate.project=project_my-dt-env coordinate.type=auto-tag coordinate.configId=auto-tag-product gid=11
time=2025-10-30T12:18:08.059Z level=INFO msg="Deploying config" deploymentStatus=deploying environment.name=project_my-dt-env environment.group=default coordinate.reference=project_my-dt-env:management-zone:8848181883292300333 coordinate.project=project_my-dt-env coordinate.type=management-zone coordinate.configId=8848181883292300333 gid=4
time=2025-10-30T12:18:08.059Z level=INFO msg="Deployment successful" deploymentStatus=deployed environment.name=project_my-dt-env environment.group=default coordinate.reference=project_my-dt-env:management-zone:8848181883292300333 coordinate.project=project_my-dt-env coordinate.type=management-zone coordinate.configId=8848181883292300333 gid=4
time=2025-10-30T12:18:08.059Z level=INFO msg="Deploying config" deploymentStatus=deploying environment.name=project_my-dt-env environment.group=default coordinate.reference=project_my-dt-env:synthetic-monitor:HTTP_CHECK-FE4D2BA69F003104 coordinate.project=project_my-dt-env coordinate.type=synthetic-monitor coordinate.configId=HTTP_CHECK-FE4D2BA69F003104 gid=4
time=2025-10-30T12:18:08.059Z level=INFO msg="Deployment successful" deploymentStatus=deployed environment.name=project_my-dt-env environment.group=default coordinate.reference=project_my-dt-env:synthetic-monitor:HTTP_CHECK-FE4D2BA69F003104 coordinate.project=project_my-dt-env coordinate.type=synthetic-monitor coordinate.configId=HTTP_CHECK-FE4D2BA69F003104 gid=4
time=2025-10-30T12:18:08.059Z level=INFO msg="Deployment successful for environment 'project_my-dt-env'" environment.group=default environment.name=project_my-dt-env environment.name=project_my-dt-env environment.group=default
time=2025-10-30T12:18:08.059Z level=INFO msg="Validation finished without errors"
